Year,GlobalMeanSeaLevel,PercentGMSL,AvgGlobalTemperature,InFahrenheit,,CO2Emissions,PercentCO,ArcticseaIce,PercentArc
1975,-21.3,85.94833018,13.96,57.128,,4.24634657,131.1110478,,
1976,-22.3,84.87712665,13.85,56.93,,4.37315121,138.0124989,,
1977,-24,88.90989288,14.13,57.434,,4.39970352,139.4576311,,
1978,-17.6,85.82230624,14.04,57.272,,4.44901765,142.1415949,,
1979,-22.5,89.60302457,14.1,57.38,,4.34977151,136.7400387,7.05,-8.794326241
1980,-16.5,97.41650914,14.2,57.56,,3.89093756,111.7676081,7.67,-1.276595745
1981,-4.1,93.76181474,14.27,57.686,,3.77501747,105.458558,7.14,-3.546099291
1982,-9.9,99.05482042,14.05,57.29,,3.63035679,97.58527661,7.3,-4.822695035
1983,-1.5,98.48771267,14.26,57.668,,3.72632629,102.8084988,7.39,3.404255319
1984,-2.4,91.99747952,14.1,57.38,,3.81747405,107.7692937,6.81,4.964539007
1985,-12.7,92.37555135,14.05,57.29,,3.82195913,108.013398,6.7,-5.106382979
1986,-12.1,92.75362319,14.13,57.434,,3.85793799,109.9715783,7.41,-3.262411348
1987,-11.5,95.71518589,14.28,57.704,,3.98924072,117.1178418,7.28,-4.539007092
1988,-6.8,98.55072464,14.33,57.794,,4.12128771,124.3046123,7.37,0.5673758865
1989,-2.3,100,14.21,57.578,,4.10696204,123.5249254,7.01,12.90780142
1990,0,101.5752993,14.36,57.848,,4.18346847,127.6888534,6.14,8.226950355
1991,2.5,102.0163831,14.35,57.83,,5.04840173,174.7635866,6.47,-5.957446809
1992,3.2,100.8821676,14.13,57.434,,5.07433631,176.1750983,7.47,9.219858156
1993,1.4,104.1587902,14.14,57.452,,5.00737472,172.5306565,6.4,-1.276595745
1994,6.6,105.9861374,14.24,57.632,,5.08510932,176.7614286,7.14,13.75886525
1995,9.5,108.5696282,14.39,57.902,,5.1063623,177.9181402,6.08,-7.517730496
1996,13.6,112.9804663,14.3,57.74,,5.12514221,178.9402529,7.58,5.106382979
1997,20.6,106.742281,14.41,57.938,,5.13518514,179.486848,6.69,7.234042553
1998,10.7,112.0982987,14.58,58.244,,5.09883066,177.5082243,6.54,13.19148936
1999,19.2,112.9174543,14.33,57.794,,5.2476328,185.6069082,6.12,11.34751773
2000,20.5,116.3831128,14.35,57.83,,5.30951676,188.9749957,6.25,4.539007092
2001,26,117.8954001,14.48,58.064,,5.2937244,188.115483,6.73,17.30496454
2002,28.4,123.6925016,14.56,58.208,,5.44599219,196.4027878,5.83,13.19148936
2003,37.6,123.4404537,14.56,58.208,,5.49989711,199.3366092,6.12,15.17730496
2004,37.2,123.5034657,14.48,58.064,,5.57037534,203.1724472,5.98,21.9858156
2005,37.3,126.2129805,14.62,58.316,,5.67996076,209.1367275,5.5,16.87943262
2006,41.6,127.4102079,14.55,58.19,,5.73696943,212.2394732,5.86,39.43262411
2007,43.5,132.8922495,14.58,58.244,,5.74280399,212.5570241,4.27,33.4751773
2008,52.2,136.5469439,14.44,57.992,,5.49413629,199.0230717,4.69,25.39007092
2009,58,141.3988658,14.57,58.226,,5.64052169,206.9902224,5.26,30.92198582
2010,65.7,142.4070573,14.63,58.334,,5.5979141,204.6712678,4.87,35.31914894
2011,67.3,147.9521109,14.52,58.136,,5.81220746,216.3343674,4.56,49.36170213
2012,76.1,142.6591052,,,,5.71526662,211.0582792,3.57,
2013,67.7,,,,,5.70831805,210.6800973,,
